ITS2 type profile UID		122341	121817	122189	121812	121631	121813	122201	121832	121734	122132	122135	121389	121910	121399	121789	121546	121464	121849	122441
Clade		C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D
Majority ITS2 sequence		C1/C41	C1/C1w	C1	C1	C1	C1	C1	C1	C116	C1	C1	C1	C39	C1	C39	C3	C1	C3	D1
Associated species		S. goreaui	S. goreaui	S. goreaui	S. goreaui	S. goreaui	S. goreaui	S. goreaui	S. goreaui	None	S. goreaui	S. goreaui	S. goreaui	None	S. goreaui	None	None	S. goreaui	None	S. trenchii
ITS2 profile abundance local		11	8	7	6	3	3	3	3	1	1	1	1	1	1	1	1	1	1	2
ITS2 profile abundance DB		48	13	61	11	134	15	63	4	39	99	63	56	20	38	6	65	19	47	51
ITS2 type profile		C1/C39/C41-C1b-C41j-C39u	C1/C1w-C21ak-C3-C45d-C39w-C3hr	C1-C1b-C41-C39-C1w-C1ae	C1-C1b-C1dq-C1dr-C1a	C3/C1	C1/C83a-C1dl-C1b-C1ds	C1/C39/C41-C1b-C1ae-C41f-C1w	C1-C3-C1w-C1du-C1dt-C3hs	C116	C1/C39-C1b-C41-C1af-C39a	C1-C1b-C39-C41f-C41-C41a-C1ae-C41e-C1f-C1w	C1	C39	C1/C39/C1b	C39-C39q-C1	C3	C1/C41/C39-C1b-C1w	C15h/C3	D1-D4-D4c-D17d-D1r-D17e-D17c
132655	SA4679	46435.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132560	SA4622	37979.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132548	SA4570	40271.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132648	SA4761	53170.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132685	SA4774	33284.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132553	SA4615	44026.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132762	SA4910	91556.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132569	SA4639	41838.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132590	SA4648	52699.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132598	SA4668	54986.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132571	SA4641	27488.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132809	NTN0046_11B	0	52206.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132735	SA4822	0	44505.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132812	NTN0043_20	0	40173.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132785	SA4813	0	72940.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132811	NTN0034_18	0	10084.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132810	NTN0050_14	0	34696.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132782	SA4739	0	47880.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132807	CHR0049_6	0	30722.0	0	0	0	0	0	0	0	0	0	0	11276.0	0	0	0	0	0	14004.0
132673	SA4752	0	0	42918.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132708	SA4881	0	0	17646.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132532	SA4547	0	0	81424.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132512	SA4495	0	0	83703.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132700	SA4840	0	0	26212.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132639	SA4747	0	0	55961.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132804	NTN0038_25A	0	0	50747.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132493	SA4442	0	0	0	99083.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132506	SA4470	0	0	0	62737.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132647	SA4760	0	0	0	41412.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132630	SA4733	0	0	0	65464.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132808	NTN0048_14B	0	0	0	93976.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1856.0
132669	SA4740	0	0	0	52151.0	0	0	0	0	6671.0	0	0	0	0	0	0	0	0	0	0
132559	SA4621	0	0	0	0	18849.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132584	SA4630	0	0	0	0	24430.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132564	SA4633	0	0	0	0	12771.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132638	SA4746	0	0	0	0	0	55872.0	0	0	0	0	0	0	0	0	0	0	0	0	0
132682	SA4770	0	0	0	0	0	23898.0	0	0	0	0	0	0	0	0	0	0	0	0	0
132730	SA4775	0	0	0	0	0	50524.0	0	0	0	0	0	0	0	0	0	0	0	3656.0	0
132578	SA4546	0	0	0	0	0	0	54501.0	0	0	0	0	0	0	0	0	0	0	0	0
132681	SA4769	0	0	0	0	0	0	15621.0	0	0	0	0	0	0	0	0	0	0	0	0
132500	SA4458	0	0	0	0	0	0	72277.0	0	0	0	0	0	0	0	0	0	0	0	0
132587	SA4645	0	0	0	0	0	0	0	33526.0	0	0	0	0	0	0	0	0	0	0	0
132803	NTN0060-22	0	0	0	0	0	0	0	16333.0	0	0	0	0	0	0	0	0	0	0	0
132805	NTN60-19	0	0	0	0	0	0	0	58342.0	0	0	0	0	0	0	0	0	0	0	0
132729	SA4440	0	0	0	0	0	0	0	0	0	80331.0	0	0	0	0	0	0	0	0	0
132577	SA4545	0	0	0	0	0	0	0	0	0	0	50452.0	0	0	0	0	0	0	0	0
132737	SA4824	0	0	0	0	0	0	0	0	0	0	0	11355.0	0	0	0	0	0	0	0
132604	SA4681	0	0	0	0	0	0	0	0	0	0	0	0	0	52048.0	0	0	0	0	0
132806	NTN0046_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32826.0	3056.0	0	0	0
132542	SA4564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24246.0	0	0
Sequence accession / SymPortal UID		2/857-4-860-2948-2661	2/833-873576-32-3241-251905-251892	2-4-857-860-833-1104	2-4-8128-57896-1111	2-32	2-15019-4-17875-15529	2-4-860-857-833-1104-1116	2-833-32-1463824-1501734-93722	632	2-4-857-860-875-1109	2-4-860-857-1113-1104-1116-833-2088-1110	2	860	2-860-4	860-2-12022	32	2-860-4-833-857	32-1584	853-854-1730-2582-1759-944-2587
